number,model,rating,offer_price,original_price,price_difference
91,fitbit charge 3 fitness tracking band (fb410rggy-cjk blue-grey and rose-gold),0,13999.00,13999.00,0.0
92,skullcandy venue active noise cancelling wireless headphones (black),0,14999.00,18999.00,4000.0
93,vivo y95 (black 64 gb 4 gb ram),0,14990.00,18990.00,4000.0
94,skullcandy riff on-ear bluetooth headphones (black),4,4999.00,5999.00,1000.0
95,stuffcool chief 2.4 amp sync and charge lightning cable,0,1199.00,1899.00,700.0
96,google fabric back case cover for pixel 3 (indigo),0,2399.00,2399.00,0.0
97,google usb-c to .35 cm adaptor cable (white),0,1490.00,1490.00,0.0
98,stuffcool rego pu leather back case cover for samsung galaxy a9 2018,0,599.00,599.00,0.0
99,stuffcool mighty 2.5d full screen tempered glass screen protector for oneplus 6t,0,999.00,1000.00,1.0
100,samsung galaxy sm-r800nzsatgy 4.6 cm bluetooth watch (silver),4,29990.00,29990.00,0.0
101,samsung galaxy watch (sm-r810n black),4,24990.00,24990.00,0.0
102,stuffcool 3d screen protector for google pixel 3 xl,0,1699.00,1699.00,0.0
103,oneplus flip case cover for oneplus 6t (black),0,1290.00,1290.00,0.0
104,oneplus protective back case cover for oneplus 6t (sandstone),0,990.00,990.00,0.0
105,belkin pocket power f7u020bt 10000 mah power bank (black),0,3999.00,3999.00,0.0
106,samsung galaxy a9 (blue 128 gb 6 gb ram),4,30990.00,36990.00,6000.0
107,belkin screenforce tempered curve screen protector for iphone 6s/7/8 (black),0,1299.00,1999.00,700.0
108,belkin tempered glass screen protector for iphone 6 plus/7 plus/8 plus,0,1399.00,1999.00,600.0
109,belkin screenforce tempered glass screen protector for iphone x,0,1899.00,3499.00,1600.0
110,belkin f2cu012bt2m micro usb charging cable (white),0,399.00,599.00,200.0
111,belkin 5000 mah power bank (f7u019btblk black),0,2599.00,2599.00,0.0
112,belkin boost up universal car charger with micro usb cable (f8m890bt04 black),0,999.00,1999.00,1000.0
113,belkin f2cu012bt04 micro usb charging cable (white),0,299.00,399.00,100.0
114,belkin mixit up usb type c cable (f2cu032bt06 black),0,899.00,1299.00,400.0
115,belkin mixit duratek kevlar f8j207bt04 lightning to usb cable (black),0,1999.00,2499.00,500.0
116,belkin f2cu012bt2m micro usb charging cable (black),0,399.00,599.00,200.0
117,neopack folio case for apple ipad pro 10.5'' (26.7 cm) (black),0,1294.00,2499.00,1205.0
118,belkin mixit duratek kevlar f8j207bt04 lightning to usb cable (silver),0,1999.00,2499.00,500.0
119,neopack folio case cover for 24.638 cm apple ipad pro (black),0,4499.00,5990.00,1491.0
120,blackberry key2 le (black 32 gb 4 gb ram),4,29990.00,34990.00,5000.0
121,neopack folio case with stylus holder for new ipad 9.7" (black),0,2199.00,2499.00,300.0
122,neopack delta case / flip case for new ipad 9.7" (tan),0,1499.00,1990.00,491.0
123,merlin miracle selfie stick (black),0,349.00,399.00,50.0
124,oneplus bullets bt32b wireless earphones (black),0,3990.00,3990.00,0.0
125,oppo f9 pro (starry purple 128 gb 6 gb ram),4,23990.00,27990.00,4000.0
126,redmi poco f1 (graphite black 256 gb 8 gb ram),4,28749.00,30999.00,2250.0
127,redmi poco f1 (graphite black 64 gb 6 gb ram),4,20749.00,21999.00,1250.0
128,redmi poco f1 (blue 64 gb 6 gb ram),4,20749.00,21999.00,1250.0
129,nokia 3.1 plus (blue 32 gb 3 gb ram),4,9499.00,12799.00,3300.0
130,nokia 8110 4g (yellow 4 gb 512 mb ram),4,4999.00,6349.00,1350.0
131,nokia 8110 4g (black 4 gb 512 mb ram),4,4999.00,6349.00,1350.0
132,google pixel 3 xl (black 64 gb 4 gb ram),4,65000.00,83000.00,18000.0
133,google pixel 3 xl (not pink 128 gb 4 gb ram),0,92000.00,92000.00,0.0
134,google pixel 3 xl (white 128 gb 4 gb ram),0,92000.00,92000.00,0.0
135,google pixel 3 xl (not pink 64 gb 4 gb ram),0,65000.00,83000.00,18000.0
136,google pixel 3 xl (white 64 gb 4 gb ram),4,65000.00,83000.00,18000.0
137,google pixel 3 (not pink 128 gb 4 gb ram),4,80000.00,80000.00,0.0
138,google pixel 3 (not pink 64 gb 4 gb ram),4,71000.00,71000.00,0.0
139,google pixel 3 (white 128 gb 4 gb ram),4,80000.00,80000.00,0.0
140,google pixel 3 (white 64 gb 4 gb ram),4,71000.00,71000.00,0.0
141,google pixel 3 xl (black 128 gb 4 gb ram),4,92000.00,92000.00,0.0
142,lg tone infinim hbs-920 premium bluetooth wireless stereo headset (black),4,6999.00,8000.00,1001.0
143,blackberry key2 (black 64 gb 6 gb ram),4,42990.00,47990.00,5000.0
144,google pixel 3 (black 64 gb 4 gb ram),4,71000.00,71000.00,0.0
145,lg tone infinim hbs-920 premium bluetooth wireless stereo headset (silver),4,6999.00,8000.00,1001.0
146,giftcard huawei mate 20 pro,4,1000.00,1000.00,0.0
147,giftcard redmi 6 pro,0,1000.00,1000.00,0.0
148,giftcard redmi 6,0,1000.00,1000.00,0.0
149,scratchgard tempered glass screen protector for samsung galaxy a7 2018 (clear),0,299.00,799.00,500.0
